S.N,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Win Team
0,New Zealand,Sri Lanka,New Zealand,45 runs,Mount Maunganui,2019-01-03,ODI # 4074,Team 1
1,New Zealand,Sri Lanka,New Zealand,21 runs,Mount Maunganui,2019-01-04,ODI # 4075,Team 1
2,New Zealand,Sri Lanka,New Zealand,115 runs,Nelson,2019-01-05,ODI # 4076,Team 1
3,Australia,India,Australia,34 runs,Sydney,2019-01-06,ODI # 4077,Team 1
4,Australia,India,India,6 wickets,Adelaide,2019-01-07,ODI # 4078,Team 2
5,Australia,India,India,7 wickets,Melbourne,2019-01-08,ODI # 4079,Team 2
6,South Africa,Pakistan,Pakistan,5 wickets,Gqeberha,2019-01-09,ODI # 4080,Team 2
7,South Africa,Pakistan,South Africa,5 wickets,Durban,2019-01-10,ODI # 4081,Team 1
8,New Zealand,India,India,8 wickets,Napier,2019-01-11,ODI # 4082,Team 2
9,U.A.E.,Nepal,U.A.E.,3 wickets,ICCA Dubai,2019-01-12,ODI # 4083,Team 1
10,South Africa,Pakistan,South Africa,13 runs,Centurion,2019-01-13,ODI # 4084,Team 1
11,New Zealand,India,India,90 runs,Mount Maunganui,2019-01-14,ODI # 4085,Team 2
12,U.A.E.,Nepal,Nepal,145 runs,ICCA Dubai,2019-01-15,ODI # 4086,Team 2
13,South Africa,Pakistan,Pakistan,8 wickets,Johannesburg,2019-01-16,ODI # 4087,Team 2
14,New Zealand,India,India,7 wickets,Mount Maunganui,2019-01-17,ODI # 4088,Team 2
15,U.A.E.,Nepal,Nepal,4 wickets,ICCA Dubai,2019-01-18,ODI # 4089,Team 2
16,South Africa,Pakistan,South Africa,7 wickets,Cape Town,2019-01-19,ODI # 4090,Team 1
17,New Zealand,India,New Zealand,8 wickets,Hamilton,2019-01-20,ODI # 4091,Team 1
18,New Zealand,India,India,35 runs,Wellington,2019-01-21,ODI # 4092,Team 2
19,New Zealand,Bangladesh,New Zealand,8 wickets,Napier,2019-02-13,ODI # 4093,Team 1
20,New Zealand,Bangladesh,New Zealand,8 wickets,Christchurch,2019-02-16,ODI # 4094,Team 1
21,New Zealand,Bangladesh,New Zealand,88 runs,Dunedin,2019-02-20,ODI # 4095,Team 1
22,West Indies,England,England,6 wickets,Bridgetown,2019-02-20,ODI # 4096,Team 2
23,West Indies,England,West Indies,26 runs,Bridgetown,2019-02-22,ODI # 4097,Team 1
24,West Indies,England,no result,-,St George's,2019-02-25,ODI # 4098,No Result
25,West Indies,England,England,29 runs,St George's,2019-02-27,ODI # 4099,Team 2
26,Afghanistan,Ireland,Afghanistan,5 wickets,Dehradun,2019-02-28,ODI # 4100,Team 1
27,Afghanistan,Ireland,no result,-,Dehradun,2019-03-02,ODI # 4101,No Result
28,India,Australia,India,6 wickets,Hyderabad,2019-03-02,ODI # 4102,Team 1
29,West Indies,England,West Indies,7 wickets,Gros Islet,2019-03-02,ODI # 4103,Team 1
30,South Africa,Sri Lanka,South Africa,8 wickets,Johannesburg,2019-03-03,ODI # 4104,Team 1
31,Afghanistan,Ireland,Ireland,4 wickets,Dehradun,2019-03-05,ODI # 4105,Team 2
32,India,Australia,India,8 runs,Nagpur,2019-03-05,ODI # 4106,Team 1
33,South Africa,Sri Lanka,South Africa,113 runs,Centurion,2019-03-06,ODI # 4107,Team 1
34,Afghanistan,Ireland,Afghanistan,109 runs,Dehradun,2019-03-08,ODI # 4108,Team 1
35,India,Australia,Australia,32 runs,Ranchi,2019-03-08,ODI # 4109,Team 2
36,Afghanistan,Ireland,Ireland,5 wickets,Dehradun,2019-03-10,ODI # 4110,Team 2
37,India,Australia,Australia,4 wickets,Mohali,2019-03-10,ODI # 4111,Team 2
38,South Africa,Sri Lanka,South Africa,71 runs,Durban,2019-03-10,ODI # 4112,Team 1
39,India,Australia,Australia,35 runs,Delhi,2019-03-13,ODI # 4113,Team 2
40,South Africa,Sri Lanka,South Africa,6 wickets,Gqeberha,2019-03-13,ODI # 4114,Team 1
41,South Africa,Sri Lanka,South Africa,41 runs,Cape Town,2019-03-16,ODI # 4115,Team 1
42,Australia,Pakistan,Australia,8 wickets,Sharjah,2019-03-22,ODI # 4116,Team 1
43,Australia,Pakistan,Australia,8 wickets,Sharjah,2019-03-24,ODI # 4117,Team 1
44,Australia,Pakistan,Australia,80 runs,Abu Dhabi,2019-03-27,ODI # 4118,Team 1
